"is_profitable","EMA_diff","SMA_diff"
"PROFITABLE",-0.5794545454545386,-3.1869999999999834
"UNPROFITABLE",0.015394899752251945,2.022999999999996
"PROFITABLE",-0.005585991111800581,-0.09999999999999432
"PROFITABLE",0.6107305701931836,0.8889999999999816
"PROFITABLE",0.6582341028853307,0.8719999999999999
"UNPROFITABLE",0.9331006296334579,2.170000000000016
"PROFITABLE",0.9742831248565693,0.5500000000000114
"PROFITABLE",-1.293971167891911,-2.8799999999999955
"PROFITABLE",-1.470521864638826,-2.265000000000015
"UNPROFITABLE",-1.574063343795416,-2.039999999999978
"PROFITABLE",-1.7931260556455868,-1.8490000000000038
"PROFITABLE",-1.6452849546191004,-0.9799999999999898
"UNPROFITABLE",-1.3625058719610905,-0.0899999999999892
"UNPROFITABLE",-0.2112359840281357,0.27599999999999625
"UNPROFITABLE",-0.6015968462773174,-1.3539999999999992
"PROFITABLE",-0.8822156014996239,-2.144999999999996
"PROFITABLE",-2.1827660247558214,-3.372
"PROFITABLE",-2.274626747527492,-2.6880000000000024
"PROFITABLE",-1.207086356587368,0.34600000000000364
"PROFITABLE",-0.24414871804607685,1.4159999999999968
"UNPROFITABLE",1.0705060740378798,2.3940000000000055
"PROFITABLE",0.68370071074294,-0.1980000000000075
"PROFITABLE",0.4161798146295723,-0.018000000000000682
"UNPROFITABLE",0.2302856610330224,-0.14300000000000068
"PROFITABLE",0.1087791772088309,-0.4379999999999882
"UNPROFITABLE",0.255910235898142,0.9179999999999922
"PROFITABLE",0.3735629202802926,0.9030000000000058
"UNPROFITABLE",0.8843120727906353,1.2390000000000043
"UNPROFITABLE",0.9732398282917529,1.2630000000000194
"UNPROFITABLE",0.3942619024262086,-0.3090000000000117
"PROFITABLE",0.3177125131944081,0.21400000000001285
"PROFITABLE",0.5452255856414467,1.0499999999999972
"UNPROFITABLE",0.7406391155248144,1.6200000000000045
"UNPROFITABLE",1.1633432871657448,1.4509999999999934
"PROFITABLE",1.0885391234952806,1.1069999999999993
"UNPROFITABLE",1.087898090934857,0.9120000000000061
"PROFITABLE",1.038880321781761,1.2049999999999983
"PROFITABLE",0.7516853583297518,-0.7349999999999852
"PROFITABLE",0.5126819340885049,-0.07299999999997908
"PROFITABLE",0.07665484843941783,-0.9440000000000452
"UNPROFITABLE",-0.06863306948736181,-0.17900000000000205
"UNPROFITABLE",0.16699400106685403,-0.7820000000000107
"UNPROFITABLE",-0.14340225114406735,-0.2150000000000034
"PROFITABLE",-0.17805638729970497,-0.33399999999997476
"UNPROFITABLE",-0.10713704415428538,0.21199999999998909
"UNPROFITABLE",0.2535733797762134,0.4749999999999943
"PROFITABLE",-0.06507632563761945,-1.4989999999999952
"PROFITABLE",-0.0954260846125976,-0.23199999999999932
"UNPROFITABLE",-0.13636012165449074,-0.6840000000000259
"PROFITABLE",-0.2886036990762477,-0.1280000000000001
"PROFITABLE",0.14677879166490015,2.1060000000000088
"PROFITABLE",0.5232320836765041,1.1510000000000105
"PROFITABLE",0.8449074279156719,1.3550000000000182
"PROFITABLE",2.356712358073537,4.401999999999987
"PROFITABLE",3.4058322397021357,5.857000000000028
"UNPROFITABLE",4.159135468847182,7.548999999999978
"UNPROFITABLE",4.452201747238604,5.770999999999987
"UNPROFITABLE",4.396346884104332,4.14500000000001
"PROFITABLE",4.229192905176262,3.4770000000000323
"PROFITABLE",4.352104341481635,4.258999999999986
"UNPROFITABLE",4.142085370303164,3.1970000000000027
"PROFITABLE",3.850069848429854,2.5360000000000014
"UNPROFITABLE",3.5462389668971355,2.179000000000002
"PROFITABLE",2.424143440650141,-0.7400000000000375
"PROFITABLE",2.289208269622833,1.6820000000000164
"PROFITABLE",2.6440794933278084,4.241000000000014
"PROFITABLE",3.3982468581772878,6.79200000000003
"PROFITABLE",5.036842938118667,9.78600000000003
"PROFITABLE",8.685573630269374,12.262000000000057
"PROFITABLE",9.583832970220385,13.625999999999976
"PROFITABLE",10.643317884725775,15.411000000000001
"PROFITABLE",12.204896451139263,19.23199999999997
"PROFITABLE",14.153211673903115,17.271000000000015
"UNPROFITABLE",19.470702712453317,36.54499999999996
"UNPROFITABLE",20.39421131018912,24.55000000000001
"PROFITABLE",21.489991071972895,26.421000000000106
"PROFITABLE",24.49162905888693,37.99899999999991
"PROFITABLE",27.51333286636202,41.11099999999999
"PROFITABLE",32.01861131448379,38.115999999999985
"PROFITABLE",35.06759107548669,48.78800000000001
"PROFITABLE",37.030271711689466,32.83899999999994
"PROFITABLE",39.20010824779979,23.341999999999985
"PROFITABLE",37.01627038456354,27.188999999999965
"PROFITABLE",35.385312132824765,28.045999999999935
"PROFITABLE",15.61479905084775,-30.37299999999982
"PROFITABLE",8.483381041602797,-23.608000000000175
"PROFITABLE",-4.534555357287331,-17.006999999999948
"PROFITABLE",-21.08107265713602,-25.607999999999834
"PROFITABLE",-21.136503183702644,-20.701999999999998
"UNPROFITABLE",-12.14084509460497,5.295000000000073
"PROFITABLE",-6.203782350131405,20.513000000000034
"UNPROFITABLE",-0.9848129781870512,13.080999999999904
"PROFITABLE",1.8915166542105908,14.835000000000036
"PROFITABLE",4.351604535263164,15.422000000000025
"PROFITABLE",5.905494619760816,12.89799999999991
"PROFITABLE",10.85501395778033,17.154999999999973
"UNPROFITABLE",12.849011420002057,21.82199999999989
"PROFITABLE",11.11632073810756,11.447000000000003
"UNPROFITABLE",10.66808247757615,6.08299999999997
"UNPROFITABLE",9.137158390744048,2.2479999999999336
"UNPROFITABLE",1.4654053094309347,-11.765999999999963
